Name1,Name2,Stamina,Exp,HP,Tame,Vitality,Armour,Speed,Power
Stamina Flax Flower X Health Ghostshroom,Health Ghostshroom X Stamina Flax Flower,60,0,150,10,0,0,0,0
Stamina Flax Flower X Health Colberry,Health Colberry X Stamina Flax Flower,60,0,60,10,0,0,0,0
Stamina Flax Flower X Health Applum,Health Applum X Stamina Flax Flower,60,0,30,10,0,0,0,0
Stamina Flax Flower X Health Lilypad,Health Lilypad X Stamina Flax Flower,50,0,22.5,10,0,0,0,0
Stamina Flax Flower X Health Mossball,Health Mossball X Stamina Flax Flower,50,0,15,10,0,0,1,1
Stamina Flax Flower X Health Hot Air Fruit,Health Hot Air Fruit X Stamina Flax Flower,50,50,30,10,0,0,0,0
Stamina Flax Flower X Health Yarrow,Health Yarrow X Stamina Flax Flower,50,0,45,10,0,0,0,0
Stamina Flax Flower X Power Bulbshroom,Power Bulbshroom X Stamina Flax Flower,70,0,0,10,0,0,3,4.5
Stamina Flax Flower X Power Ruby Plant,Power Ruby Plant X Stamina Flax Flower,70,0,0,10,2,0,2,3
Stamina Flax Flower X Power Black Pearl,Power Black Pearl X Stamina Flax Flower,70,0,0,10,0,-3,0,7.5
Stamina Flax Flower X Power Electricone,Power Electricone X Stamina Flax Flower,60,0,0,10,0,0,0,6
Stamina Flax Flower X Power Fuzzball,Power Fuzzball X Stamina Flax Flower,60,0,0,10,1,0,1,1.5
Stamina Flax Flower X Power Zaplant,Power Zaplant X Stamina Flax Flower,50,0,0,10,0,1,0,4.5
Stamina Flax Flower X Power Wingfruit,Power Wingfruit X Stamina Flax Flower,50,0,0,10,-8,0,0,12
Stamina Flax Flower X Power Umbrellashroom,Power Umbrellashroom X Stamina Flax Flower,50,0,0,10,-1,0,0,3
Stamina Flax Flower X Power Mossball,Power Mossball X Stamina Flax Flower,50,0,10,10,0,0,1,1.5
Stamina Flax Flower X Power Nimbus Plant,Power Nimbus Plant X Stamina Flax Flower,50,0,0,10,0,0,0,4.5
Stamina Flax Flower X Power Spirit Bane,Power Spirit Bane X Stamina Flax Flower,50,0,0,10,0,0,-5,7.5
Stamina Flax Flower X Speed Bulbshroom,Speed Bulbshroom X Stamina Flax Flower,70,0,0,10,0,0,4.5,3
Stamina Flax Flower X Speed Ruby Plant,Speed Ruby Plant X Stamina Flax Flower,70,0,0,10,2,0,3,2
Stamina Flax Flower X Speed Fuzzball,Speed Fuzzball X Stamina Flax Flower,60,0,0,10,1,0,1.5,1
Stamina Flax Flower X Speed Plantern,Speed Plantern X Stamina Flax Flower,60,0,0,10,0,0,6,0
Stamina Flax Flower X Speed Sun Flower,Speed Sun Flower X Stamina Flax Flower,50,0,0,40,0,0,3,0
Stamina Flax Flower X Speed CatTail,Speed CatTail X Stamina Flax Flower,50,0,0,10,0,0,4.5,0
Stamina Flax Flower X Speed Mossball,Speed Mossball X Stamina Flax Flower,50,0,10,10,0,0,1.5,1
Stamina Flax Flower X Speed Popsiplant,Speed Popsiplant X Stamina Flax Flower,50,0,0,10,1,0,3,0
Stamina Flax Flower X Speed Bolt,Speed Bolt X Stamina Flax Flower,50,0,0,10,0,0,7.5,0
Stamina Flax Flower X Speed Flameroot,Speed Flameroot X Stamina Flax Flower,50,0,0,10,0,0,6,0
Stamina Flax Flower X Tame Snowdrop Flower,Tame Snowdrop Flower X Stamina Flax Flower,70,500,0,160,0,0,0,0
Stamina Flax Flower X Tame Spectre Flower,Tame Spectre Flower X Stamina Flax Flower,60,0,0,85,0,0,-2,0
Stamina Flax Flower X Tame Flag Flower,Tame Flag Flower X Stamina Flax Flower,60,0,0,70,0,0,0,0
Stamina Flax Flower X Tame Tiny Flower,Tame Tiny Flower X Stamina Flax Flower,50,50,0,55,0,0,0,0
Stamina Flax Flower X Tame Sun Flower,Tame Sun Flower X Stamina Flax Flower,50,0,0,55,0,0,2,0
Stamina Flax Flower X Tame Fire Flower,Tame Fire Flower X Stamina Flax Flower,50,0,0,55,0,0,0,0
Stamina Flax Flower X Tame Pinwheel Flower,Tame Pinwheel Flower X Stamina Flax Flower,50,0,0,40,1,0,0,0
Stamina Flax Flower X Tame Flake Flower,Tame Flake Flower X Stamina Flax Flower,20,0,0,85,-2,0,-2,-2
Stamina Flax Flower X Magic Mushroom,Magic Mushroom X Stamina Flax Flower,130,0,0,10,0,0,0,0
Stamina Flax Flower X Snow Flobes,Snow Flobes X Stamina Flax Flower,110,0,0,10,0,0,0,0
Stamina Flax Flower X Squish,Squish X Stamina Flax Flower,90,0,0,10,0,0,0,0
Stamina Flax Flower X Stonefruit,Stonefruit X Stamina Flax Flower,80,0,0,10,0,0,0,0
Stamina Flax Flower X Snowdrop Flower,Snowdrop Flower X Stamina Flax Flower,70,500,0,110,0,0,0,0
Stamina Flax Flower X Icicle Root,Icicle Root X Stamina Flax Flower,70,0,0,10,-5,5,-5,-5
Stamina Flax Flower X Sweater Plant,Sweater Plant X Stamina Flax Flower,70,0,0,10,0,3,0,0
Stamina Flax Flower X Chilly Berry,Chilly Berry X Stamina Flax Flower,70,0,0,10,1,1,0,0
Stamina Flax Flower X Bulbshroom,Bulbshroom X Stamina Flax Flower,70,0,0,10,0,0,3,3
Stamina Flax Flower X Ruby Plant,Ruby Plant X Stamina Flax Flower,70,0,0,10,2,0,2,2
Stamina Flax Flower X Snowman Plant,Snowman Plant X Stamina Flax Flower,70,0,50,10,1,0,0,0
Stamina Flax Flower X Gift Plant,Gift Plant X Stamina Flax Flower,70,1000,0,10,0,0,0,0
Stamina Flax Flower X Cresent Plant,Cresent Plant X Stamina Flax Flower,70,0,0,10,5,0,0,0
Stamina Flax Flower X Beach Peach,Beach Peach X Stamina Flax Flower,70,0,0,10,0,0,0,0
Stamina Flax Flower X Popcorn Plant,Popcorn Plant X Stamina Flax Flower,70,0,0,10,0,-1,0,0
Stamina Flax Flower X Black Pearl,Black Pearl X Stamina Flax Flower,70,0,0,10,0,-3,0,5
Stamina Flax Flower X Spectre Flower,Spectre Flower X Stamina Flax Flower,60,0,0,60,0,0,-2,0
Stamina Flax Flower X Flag Flower,Flag Flower X Stamina Flax Flower,60,0,0,50,0,0,0,0
Stamina Flax Flower X Skeleplant,Skeleplant X Stamina Flax Flower,60,0,0,10,-2,2,0,0
Stamina Flax Flower X Electricone,Electricone X Stamina Flax Flower,60,0,0,10,0,0,0,4
Stamina Flax Flower X Fuzzball,Fuzzball X Stamina Flax Flower,60,0,0,10,1,0,1,1
Stamina Flax Flower X Wilowisp,Wilowisp X Stamina Flax Flower,60,250,0,10,0,0,0,0
Stamina Flax Flower X Plantern,Plantern X Stamina Flax Flower,60,0,0,10,0,0,4,0
Stamina Flax Flower X Heat Plant,Heat Plant X Stamina Flax Flower,60,0,0,10,4,0,0,0
Stamina Flax Flower X Ghostshroom,Ghostshroom X Stamina Flax Flower,60,0,100,10,0,0,0,0
Stamina Flax Flower X Colberry,Colberry X Stamina Flax Flower,60,0,40,10,0,0,0,0
Stamina Flax Flower X Applum,Applum X Stamina Flax Flower,60,0,20,10,0,0,0,0
Stamina Flax Flower X Tiny Flower,Tiny Flower X Stamina Flax Flower,50,50,0,40,0,0,0,0
Stamina Flax Flower X Sun Flower,Sun Flower X Stamina Flax Flower,50,0,0,40,0,0,2,0
Stamina Flax Flower X Fire Flower,Fire Flower X Stamina Flax Flower,50,0,0,40,0,0,0,0
Stamina Flax Flower X Pinwheel Flower,Pinwheel Flower X Stamina Flax Flower,50,0,0,30,1,0,0,0
Stamina Flax Flower X Zaplant,Zaplant X Stamina Flax Flower,50,0,0,10,0,1,0,3
Stamina Flax Flower X Wingfruit,Wingfruit X Stamina Flax Flower,50,0,0,10,-8,0,0,8
Stamina Flax Flower X Lilypad,Lilypad X Stamina Flax Flower,50,0,15,10,0,0,0,0
Stamina Flax Flower X CatTail,CatTail X Stamina Flax Flower,50,0,0,10,0,0,3,0
Stamina Flax Flower X Umbrellashroom,Umbrellashroom X Stamina Flax Flower,50,0,0,10,-1,0,0,2
Stamina Flax Flower X Mossball,Mossball X Stamina Flax Flower,50,0,10,10,0,0,1,1
Stamina Flax Flower X Popsiplant,Popsiplant X Stamina Flax Flower,50,0,0,10,1,0,2,0
Stamina Flax Flower X Hot Air Fruit,Hot Air Fruit X Stamina Flax Flower,50,50,20,10,0,0,0,0
Stamina Flax Flower X Bolt,Bolt X Stamina Flax Flower,50,0,0,10,0,0,5,0
Stamina Flax Flower X Flameroot,Flameroot X Stamina Flax Flower,50,0,0,10,0,0,4,0
Stamina Flax Flower X Bloodroot,Bloodroot X Stamina Flax Flower,50,0,0,10,5,0,-5,0
Stamina Flax Flower X Eyeberry,Eyeberry X Stamina Flax Flower,50,100,0,10,0,0,0,0
Stamina Flax Flower X Nimbus Plant,Nimbus Plant X Stamina Flax Flower,50,0,0,10,0,0,0,3
Stamina Flax Flower X Hot Pepper,Hot Pepper X Stamina Flax Flower,50,0,0,10,3,0,0,0
Stamina Flax Flower X Yarrow,Yarrow X Stamina Flax Flower,50,0,30,10,0,0,0,0
Stamina Flax Flower X Spirit Bane,Spirit Bane X Stamina Flax Flower,50,0,0,10,0,0,-5,5
Stamina Flax Flower X Prickly Plant,Prickly Plant X Stamina Flax Flower,50,0,0,10,0,0,0,-4
Stamina Flax Flower X Erdenleaf,Erdenleaf X Stamina Flax Flower,50,0,0,10,0,-2,0,0
Stamina Flax Flower X Flake Flower,Flake Flower X Stamina Flax Flower,20,0,0,60,-2,0,-2,-2
Stamina Flax Flower X Spiky Plant,Spiky Plant X Stamina Flax Flower,20,0,0,10,0,0,-3,0
Stamina Flax Flower X Saplant,Saplant X Stamina Flax Flower,20,0,0,10,0,0,-5,0
Stamina Flax Flower X Nightshade,Nightshade X Stamina Flax Flower,20,0,0,10,-3,0,0,0
Stamina Flax Flower X Mandrake,Mandrake X Stamina Flax Flower,20,0,0,10,0,0,0,-3
Stamina Flax Flower X Grumpkin,Grumpkin X Stamina Flax Flower,20,0,0,10,-1,0,-1,-1
Tame Flax Flower X Tame Flax Flower,Tame Flax Flower X Tame Flax Flower,40,0,0,30,0,0,0,0
Tame Flax Flower X Flax Flower,Flax Flower X Tame Flax Flower,40,0,0,25,0,0,0,0
Tame Flax Flower X Stamina Magic Mushroom,Stamina Magic Mushroom X Tame Flax Flower,170,0,0,15,0,0,0,0
Tame Flax Flower X Stamina Snow Flobes,Stamina Snow Flobes X Tame Flax Flower,140,0,0,15,0,0,0,0
Tame Flax Flower X Stamina Squish,Stamina Squish X Tame Flax Flower,110,0,0,15,0,0,0,0
Tame Flax Flower X Stamina Stonefruit,Stamina Stonefruit X Tame Flax Flower,95,0,0,15,0,0,0,0
Tame Flax Flower X Stamina Snowdrop Flower,Stamina Snowdrop Flower X Tame Flax Flower,80,500,0,115,0,0,0,0
Tame Flax Flower X Stamina Icicle Root,Stamina Icicle Root X Tame Flax Flower,80,0,0,15,-5,5,-5,-5
Tame Flax Flower X Stamina Sweater Plant,Stamina Sweater Plant X Tame Flax Flower,80,0,0,15,0,3,0,0
Tame Flax Flower X Stamina Chilly Berry,Stamina Chilly Berry X Tame Flax Flower,80,0,0,15,1,1,0,0
Tame Flax Flower X Stamina Bulbshroom,Stamina Bulbshroom X Tame Flax Flower,80,0,0,15,0,0,3,3
Tame Flax Flower X Stamina Ruby Plant,Stamina Ruby Plant X Tame Flax Flower,80,0,0,15,2,0,2,2
Tame Flax Flower X Stamina Snowman Plant,Stamina Snowman Plant X Tame Flax Flower,80,0,50,15,1,0,0,0
Tame Flax Flower X Stamina Gift Plant,Stamina Gift Plant X Tame Flax Flower,80,1000,0,15,0,0,0,0
Tame Flax Flower X Stamina Cresent Plant,Stamina Cresent Plant X Tame Flax Flower,80,0,0,15,5,0,0,0
Tame Flax Flower X Stamina Beach Peach,Stamina Beach Peach X Tame Flax Flower,80,0,0,15,0,0,0,0
Tame Flax Flower X Stamina Popcorn Plant,Stamina Popcorn Plant X Tame Flax Flower,80,0,0,15,0,-1,0,0
Tame Flax Flower X Stamina Black Pearl,Stamina Black Pearl X Tame Flax Flower,80,0,0,15,0,-3,0,5
Tame Flax Flower X Stamina Spectre Flower,Stamina Spectre Flower X Tame Flax Flower,65,0,0,65,0,0,-2,0
Tame Flax Flower X Stamina Flag Flower,Stamina Flag Flower X Tame Flax Flower,65,0,0,55,0,0,0,0
Tame Flax Flower X Stamina Skeleplant,Stamina Skeleplant X Tame Flax Flower,65,0,0,15,-2,2,0,0
Tame Flax Flower X Stamina Electricone,Stamina Electricone X Tame Flax Flower,65,0,0,15,0,0,0,4
Tame Flax Flower X Stamina Fuzzball,Stamina Fuzzball X Tame Flax Flower,65,0,0,15,1,0,1,1
Tame Flax Flower X Stamina Wilowisp,Stamina Wilowisp X Tame Flax Flower,65,250,0,15,0,0,0,0
Tame Flax Flower X Stamina Plantern,Stamina Plantern X Tame Flax Flower,65,0,0,15,0,0,4,0
Tame Flax Flower X Stamina Heat Plant,Stamina Heat Plant X Tame Flax Flower,65,0,0,15,4,0,0,0
Tame Flax Flower X Stamina Ghostshroom,Stamina Ghostshroom X Tame Flax Flower,65,0,100,15,0,0,0,0
Tame Flax Flower X Stamina Colberry,Stamina Colberry X Tame Flax Flower,65,0,40,15,0,0,0,0
Tame Flax Flower X Stamina Applum,Stamina Applum X Tame Flax Flower,65,0,20,15,0,0,0,0
Tame Flax Flower X Stamina Tiny Flower,Stamina Tiny Flower X Tame Flax Flower,50,50,0,45,0,0,0,0
Tame Flax Flower X Stamina Sun Flower,Stamina Sun Flower X Tame Flax Flower,50,0,0,45,0,0,2,0
Tame Flax Flower X Stamina Fire Flower,Stamina Fire Flower X Tame Flax Flower,50,0,0,45,0,0,0,0
Tame Flax Flower X Stamina Pinwheel Flower,Stamina Pinwheel Flower X Tame Flax Flower,50,0,0,35,1,0,0,0
Tame Flax Flower X Stamina Zaplant,Stamina Zaplant X Tame Flax Flower,50,0,0,15,0,1,0,3
Tame Flax Flower X Stamina Wingfruit,Stamina Wingfruit X Tame Flax Flower,50,0,0,15,-8,0,0,8
Tame Flax Flower X Stamina Lilypad,Stamina Lilypad X Tame Flax Flower,50,0,15,15,0,0,0,0
Tame Flax Flower X Stamina CatTail,Stamina CatTail X Tame Flax Flower,50,0,0,15,0,0,3,0
Tame Flax Flower X Stamina Umbrellashroom,Stamina Umbrellashroom X Tame Flax Flower,50,0,0,15,-1,0,0,2
Tame Flax Flower X Stamina Mossball,Stamina Mossball X Tame Flax Flower,50,0,10,15,0,0,1,1
Tame Flax Flower X Stamina Popsiplant,Stamina Popsiplant X Tame Flax Flower,50,0,0,15,1,0,2,0
Tame Flax Flower X Stamina Hot Air Fruit,Stamina Hot Air Fruit X Tame Flax Flower,50,50,20,15,0,0,0,0
Tame Flax Flower X Stamina Bolt,Stamina Bolt X Tame Flax Flower,50,0,0,15,0,0,5,0
Tame Flax Flower X Stamina Flameroot,Stamina Flameroot X Tame Flax Flower,50,0,0,15,0,0,4,0
Tame Flax Flower X Stamina Bloodroot,Stamina Bloodroot X Tame Flax Flower,50,0,0,15,5,0,-5,0
Tame Flax Flower X Stamina Eyeberry,Stamina Eyeberry X Tame Flax Flower,50,100,0,15,0,0,0,0
Tame Flax Flower X Stamina Nimbus Plant,Stamina Nimbus Plant X Tame Flax Flower,50,0,0,15,0,0,0,3
Tame Flax Flower X Stamina Hot Pepper,Stamina Hot Pepper X Tame Flax Flower,50,0,0,15,3,0,0,0
Tame Flax Flower X Stamina Yarrow,Stamina Yarrow X Tame Flax Flower,50,0,30,15,0,0,0,0
Tame Flax Flower X Stamina Spirit Bane,Stamina Spirit Bane X Tame Flax Flower,50,0,0,15,0,0,-5,5
Tame Flax Flower X Stamina Prickly Plant,Stamina Prickly Plant X Tame Flax Flower,50,0,0,15,0,0,0,-4
Tame Flax Flower X Stamina Erdenleaf,Stamina Erdenleaf X Tame Flax Flower,50,0,0,15,0,-2,0,0
Tame Flax Flower X Exp Snowdrop Flower,Exp Snowdrop Flower X Tame Flax Flower,60,750,0,115,0,0,0,0
Tame Flax Flower X Exp Gift Plant,Exp Gift Plant X Tame Flax Flower,60,1500,0,15,0,0,0,0
Tame Flax Flower X Exp Wilowisp,Exp Wilowisp X Tame Flax Flower,50,375,0,15,0,0,0,0
Tame Flax Flower X Exp Tiny Flower,Exp Tiny Flower X Tame Flax Flower,40,75,0,45,0,0,0,0
Tame Flax Flower X Exp Hot Air Fruit,Exp Hot Air Fruit X Tame Flax Flower,40,75,20,15,0,0,0,0
Tame Flax Flower X Exp Eyeberry,Exp Eyeberry X Tame Flax Flower,40,150,0,15,0,0,0,0
Tame Flax Flower X Health Snowman Plant,Health Snowman Plant X Tame Flax Flower,60,0,75,15,1,0,0,0
Tame Flax Flower X Health Ghostshroom,Health Ghostshroom X Tame Flax Flower,50,0,150,15,0,0,0,0
Tame Flax Flower X Health Colberry,Health Colberry X Tame Flax Flower,50,0,60,15,0,0,0,0
Tame Flax Flower X Health Applum,Health Applum X Tame Flax Flower,50,0,30,15,0,0,0,0
Tame Flax Flower X Health Lilypad,Health Lilypad X Tame Flax Flower,40,0,22.5,15,0,0,0,0
Tame Flax Flower X Health Mossball,Health Mossball X Tame Flax Flower,40,0,15,15,0,0,1,1
Tame Flax Flower X Health Hot Air Fruit,Health Hot Air Fruit X Tame Flax Flower,40,50,30,15,0,0,0,0
Tame Flax Flower X Health Yarrow,Health Yarrow X Tame Flax Flower,40,0,45,15,0,0,0,0
Tame Flax Flower X Power Bulbshroom,Power Bulbshroom X Tame Flax Flower,60,0,0,15,0,0,3,4.5
Tame Flax Flower X Power Ruby Plant,Power Ruby Plant X Tame Flax Flower,60,0,0,15,2,0,2,3
Tame Flax Flower X Power Black Pearl,Power Black Pearl X Tame Flax Flower,60,0,0,15,0,-3,0,7.5
Tame Flax Flower X Power Electricone,Power Electricone X Tame Flax Flower,50,0,0,15,0,0,0,6
Tame Flax Flower X Power Fuzzball,Power Fuzzball X Tame Flax Flower,50,0,0,15,1,0,1,1.5
Tame Flax Flower X Power Zaplant,Power Zaplant X Tame Flax Flower,40,0,0,15,0,1,0,4.5
Tame Flax Flower X Power Wingfruit,Power Wingfruit X Tame Flax Flower,40,0,0,15,-8,0,0,12
Tame Flax Flower X Power Umbrellashroom,Power Umbrellashroom X Tame Flax Flower,40,0,0,15,-1,0,0,3
Tame Flax Flower X Power Mossball,Power Mossball X Tame Flax Flower,40,0,10,15,0,0,1,1.5
Tame Flax Flower X Power Nimbus Plant,Power Nimbus Plant X Tame Flax Flower,40,0,0,15,0,0,0,4.5
Tame Flax Flower X Power Spirit Bane,Power Spirit Bane X Tame Flax Flower,40,0,0,15,0,0,-5,7.5
Tame Flax Flower X Speed Bulbshroom,Speed Bulbshroom X Tame Flax Flower,60,0,0,15,0,0,4.5,3
Tame Flax Flower X Speed Ruby Plant,Speed Ruby Plant X Tame Flax Flower,60,0,0,15,2,0,3,2
Tame Flax Flower X Speed Fuzzball,Speed Fuzzball X Tame Flax Flower,50,0,0,15,1,0,1.5,1
Tame Flax Flower X Speed Plantern,Speed Plantern X Tame Flax Flower,50,0,0,15,0,0,6,0
Tame Flax Flower X Speed Sun Flower,Speed Sun Flower X Tame Flax Flower,40,0,0,45,0,0,3,0
Tame Flax Flower X Speed CatTail,Speed CatTail X Tame Flax Flower,40,0,0,15,0,0,4.5,0
Tame Flax Flower X Speed Mossball,Speed Mossball X Tame Flax Flower,40,0,10,15,0,0,1.5,1
Tame Flax Flower X Speed Popsiplant,Speed Popsiplant X Tame Flax Flower,40,0,0,15,1,0,3,0
Tame Flax Flower X Speed Bolt,Speed Bolt X Tame Flax Flower,40,0,0,15,0,0,7.5,0
Tame Flax Flower X Speed Flameroot,Speed Flameroot X Tame Flax Flower,40,0,0,15,0,0,6,0
Tame Flax Flower X Tame Snowdrop Flower,Tame Snowdrop Flower X Tame Flax Flower,60,500,0,165,0,0,0,0
Tame Flax Flower X Tame Spectre Flower,Tame Spectre Flower X Tame Flax Flower,50,0,0,90,0,0,-2,0
Tame Flax Flower X Tame Flag Flower,Tame Flag Flower X Tame Flax Flower,50,0,0,75,0,0,0,0
Tame Flax Flower X Tame Tiny Flower,Tame Tiny Flower X Tame Flax Flower,40,50,0,60,0,0,0,0
Tame Flax Flower X Tame Sun Flower,Tame Sun Flower X Tame Flax Flower,40,0,0,60,0,0,2,0
Tame Flax Flower X Tame Fire Flower,Tame Fire Flower X Tame Flax Flower,40,0,0,60,0,0,0,0
Tame Flax Flower X Tame Pinwheel Flower,Tame Pinwheel Flower X Tame Flax Flower,40,0,0,45,1,0,0,0
